Message
" hey guys, does anyone know a good football club for erasmus students? is anyone playing here already?"
 Is anyone managing to play here?
 I'm also looking for a soccer team
 I applied for the university team
 At UCV
 where did you ask the question?
 can you only do that if you study there?
 I dont know
 does anyone know if there is a team of the upv or and to get into it?
 Yes
" In the upv they have some sort of leagues where the students can create their own teams with their classmates of friends from upv 
It starts in october"
 And i think to get in you have to do it from intranet
 well i am at uv so it doesn't work
" i only know for womens football, im going to train for a club here and applying for the uni team at ucv"
 Should we like try to find a football pitch and organise some games with each other?
 I’m in
 Good idea
 Yes
 Yess
 i would love that
 Do you know if there are any public grounds?
 i know that you can reserve some at the upv but i don’t know if it’s only for upv students and how easy it is and how big they are
 there is one just near estadi de l’atletisme del turia I think
 Yes that is very close to me
 I saw people playing the other day but I dont know if it is for public
 it should be I guess
 i called there and they said that it’s for everybody but you have to go there and register for the place like give the names of who’s using it and identification and stuff
 I think we should go as a group maybe?
 yeah
 Maybe tomorrow
 Who is down?
 If we arent able to enter we can go for a coffee or something
 i could do tomorrow but only a little later in the afternoon
 I’m in!
 Me too
 should we maybe create a separate group and everybody who wanna join us can enter the group ?
 I'am also down
 Me too
 Me too
 i can’t go tomorrow but i’m interested
 We should like book the ground the same day every week and we see who can and cannot attend
 Im also in
" Good idea, cause idk whether I‘ll be free tomorrow"
" Yes its a great idea , especially for the ones who are in the upv , because you can rent football pitches their for free for the students"
 They are 7vs7 pitches
 Can you maybe ask if students from other universities can play there?
 do you know if everyone can go there and just someone from the upv has to rent it or if only students can go there
" I dont think so , last year they sometimes the guys who work there enter and begins checking the upv ids"
 Yeah thats what I thought
" It is only allowed for upv students, thats the problem"
 There is a pitch 11vs11
 Well there is one pitch for 11v11 and it is divided by 2 for 7vs7
 But i think we can play 11vs11 if we manage to rent both pitches at the same time
 then let’s try the public one first where anyone can play
" Yes , i know one in Malvarosa , it can be rented for 7vs7 or 11vs11"
 7vs7 i think its 5 euros per person
 Perfect
 We can try to book that
 If we are 14
 For tomorrow ?
" Yes , of course"
 Yes for me it’s okay
 Me too
 me too
 Sounds good
 which time ?
 Ok for me
 👍🏼👍🏼
 Ok for me
 Tommorow sounds good
 When are you going to play? I am in too?
" For 7vs7 in upv tomorrow it is free all day from 8:00 until 19:00 
But if u want outside of upv , honestly i don't know if its possible tomorrow we might need to call them to check"
 I would have been down but if it’s in upv I don’t think I can go since I’m in ucv
" PEILING:
where should we play ?
OPTIE: the one in malverosa (‎0 stemmen)
OPTIE: estadi de l’atletisme del turia (‎7 stemmen)
OPTIE: try upv (‎10 stemmen)
"
" the ones who want to play at upv , at which time you think its better , the pitch is free from 8:00 to 19:00 and i think we can book 2 hours"
 17:00 - 19:00?
" I'm fine with that field too, but I don't know if we can if we're from the UV"
 you have to be from the uvp to play there?
 Yes
 Well you can but its a bit risky
